target,model,predictor,rank,normalized_importance
hr_gameplay_sd_mean_across_matches,Elastic Net,alexithymia_t1,1,1
hr_gameplay_sd_mean_across_matches,Elastic Net,positive_affect_t1,2,1
hr_gameplay_sd_mean_across_matches,Elastic Net,gad2_t1,3,1
hr_gameplay_sd_mean_across_matches,Elastic Net,body_awareness_t1,4,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ress_engagement_t1,5,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ebq_positive_usefulness_t1,6,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ebq_positive_controllability_t1,7,1
hr_gameplay_sd_mean_across_matches,Elastic Net,fixed_mindset_t1,8,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ress_reappraisal_t1,9,1
hr_gameplay_sd_mean_across_matches,Elastic Net,negative_affect_t1,10,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ress_rumination_t1,11,1
hr_gameplay_sd_mean_across_matches,Elastic Net,flourishing_t1,12,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ress_relaxation_t1,13,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ress_distraction_t1,14,1
hr_gameplay_sd_mean_across_matches,Elastic Net,health_t1,15,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ress_suppression_t1,16,1
hr_gameplay_sd_mean_across_matches,Elastic Net,phq2_t1,17,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ebq_negative_controllability_t1,18,1
hr_gameplay_sd_mean_across_matches,Elastic Net,gaming_disorder_t1,19,1
hr_gameplay_sd_mean_across_matches,Elastic Net,self_esteem_t1,20,1
hr_gameplay_sd_mean_across_matches,Elastic Net,swls3_t1,21,1
hr_gameplay_sd_mean_across_matches,Elastic Net,stress_debilitating_mindset_t1,22,1
hr_gameplay_sd_mean_across_matches,Elastic Net,ebq_negative_usefulness_t1,23,1
hr_gameplay_sd_mean_across_matches,Random Forest,alexithymia_t1,1,1
hr_gameplay_sd_mean_across_matches,Random Forest,negative_affect_t1,2,1
hr_gameplay_sd_mean_across_matches,Random Forest,gad2_t1,3,1
hr_gameplay_sd_mean_across_matches,Random Forest,positive_affect_t1,4,1
hr_gameplay_sd_mean_across_matches,Random Forest,self_esteem_t1,5,1
hr_gameplay_sd_mean_across_matches,Random Forest,stress_debilitating_mindset_t1,6,1
hr_gameplay_sd_mean_across_matches,Random Forest,swls3_t1,7,1
hr_gameplay_sd_mean_across_matches,Random Forest,ebq_positive_controllability_t1,8,1
hr_gameplay_sd_mean_across_matches,Random Forest,ress_reappraisal_t1,9,1
hr_gameplay_sd_mean_across_matches,Random Forest,ress_suppression_t1,10,1
hr_gameplay_sd_mean_across_matches,Random Forest,flourishing_t1,11,1
hr_gameplay_sd_mean_across_matches,Random Forest,ress_engagement_t1,12,1
hr_gameplay_sd_mean_across_matches,Random Forest,gaming_disorder_t1,13,1
hr_gameplay_sd_mean_across_matches,Random Forest,body_awareness_t1,14,1
hr_gameplay_sd_mean_across_matches,Random Forest,ebq_negative_controllability_t1,15,1
hr_gameplay_sd_mean_across_matches,Random Forest,ress_distraction_t1,16,1
hr_gameplay_sd_mean_across_matches,Random Forest,ebq_positive_usefulness_t1,17,1
hr_gameplay_sd_mean_across_matches,Random Forest,ebq_negative_usefulness_t1,18,1
hr_gameplay_sd_mean_across_matches,Random Forest,health_t1,19,1
hr_gameplay_sd_mean_across_matches,Random Forest,fixed_mindset_t1,20,1
hr_gameplay_sd_mean_across_matches,Random Forest,ress_rumination_t1,21,1
hr_gameplay_sd_mean_across_matches,Random Forest,phq2_t1,22,1
hr_gameplay_sd_mean_across_matches,Random Forest,ress_relaxation_t1,23,1
hr_gameplay_sd_mean_across_matches,XGBoost,fixed_mindset_t1,1,1
hr_gameplay_sd_mean_across_matches,XGBoost,positive_affect_t1,2,1
hr_gameplay_sd_mean_across_matches,XGBoost,alexithymia_t1,3,1
hr_gameplay_sd_mean_across_matches,XGBoost,gad2_t1,4,1
hr_gameplay_sd_mean_across_matches,XGBoost,ebq_positive_controllability_t1,5,1
hr_gameplay_sd_mean_across_matches,XGBoost,negative_affect_t1,6,1
hr_gameplay_sd_mean_across_matches,XGBoost,ress_suppression_t1,7,1
hr_gameplay_sd_mean_across_matches,XGBoost,flourishing_t1,8,1
hr_gameplay_sd_mean_across_matches,XGBoost,swls3_t1,9,1
hr_gameplay_sd_mean_across_matches,XGBoost,body_awareness_t1,10,1
hr_gameplay_sd_mean_across_matches,XGBoost,ress_engagement_t1,11,1
hr_gameplay_sd_mean_across_matches,XGBoost,ebq_negative_usefulness_t1,12,1
hr_gameplay_sd_mean_across_matches,XGBoost,ebq_positive_usefulness_t1,13,1
hr_gameplay_sd_mean_across_matches,XGBoost,ress_reappraisal_t1,14,1
hr_gameplay_sd_mean_across_matches,XGBoost,ebq_negative_controllability_t1,15,1
hr_gameplay_sd_mean_across_matches,XGBoost,gaming_disorder_t1,16,1
hr_gameplay_sd_mean_across_matches,XGBoost,ress_distraction_t1,17,1
hr_peak_reactivity_mean_across_matches,Elastic Net,gad2_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,phq2_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,flourishing_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,swls3_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,stress_debilitating_mindset_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,fixed_mindset_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,gaming_disorder_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,alexithymia_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,body_awareness_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ebq_negative_controllability_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ebq_positive_controllability_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ebq_negative_usefulness_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ebq_positive_usefulness_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,positive_affect_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,negative_affect_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ress_relaxation_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ress_engagement_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ress_rumination_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ress_reappraisal_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ress_distraction_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,ress_suppression_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,self_esteem_t1,12,0
hr_peak_reactivity_mean_across_matches,Elastic Net,health_t1,12,0
hr_peak_reactivity_mean_across_matches,Random Forest,phq2_t1,1,1
hr_peak_reactivity_mean_across_matches,Random Forest,ebq_negative_controllability_t1,2,1
hr_peak_reactivity_mean_across_matches,Random Forest,ebq_positive_usefulness_t1,3,1
hr_peak_reactivity_mean_across_matches,Random Forest,negative_affect_t1,4,1
hr_peak_reactivity_mean_across_matches,Random Forest,ress_rumination_t1,5,1
hr_peak_reactivity_mean_across_matches,Random Forest,ebq_positive_controllability_t1,6,1
hr_peak_reactivity_mean_across_matches,Random Forest,ress_distraction_t1,7,1
hr_peak_reactivity_mean_across_matches,Random Forest,flourishing_t1,8,1
hr_peak_reactivity_mean_across_matches,Random Forest,body_awareness_t1,9,1
hr_peak_reactivity_mean_across_matches,Random Forest,self_esteem_t1,10,1
hr_peak_reactivity_mean_across_matches,Random Forest,gad2_t1,11,1
hr_peak_reactivity_mean_across_matches,Random Forest,ress_suppression_t1,12,1
hr_peak_reactivity_mean_across_matches,Random Forest,positive_affect_t1,13,1
hr_peak_reactivity_mean_across_matches,Random Forest,ress_reappraisal_t1,14,1
hr_peak_reactivity_mean_across_matches,Random Forest,ress_engagement_t1,15,1
hr_peak_reactivity_mean_across_matches,Random Forest,alexithymia_t1,16,1
hr_peak_reactivity_mean_across_matches,Random Forest,ebq_negative_usefulness_t1,17,1
hr_peak_reactivity_mean_across_matches,Random Forest,stress_debilitating_mindset_t1,18,1
hr_peak_reactivity_mean_across_matches,Random Forest,health_t1,19,1
hr_peak_reactivity_mean_across_matches,Random Forest,ress_relaxation_t1,20,1
hr_peak_reactivity_mean_across_matches,Random Forest,swls3_t1,21,1
hr_peak_reactivity_mean_across_matches,Random Forest,fixed_mindset_t1,22,1
hr_peak_reactivity_mean_across_matches,Random Forest,gaming_disorder_t1,23,1
hr_peak_reactivity_mean_across_matches,XGBoost,phq2_t1,1,1
hr_peak_reactivity_mean_across_matches,XGBoost,body_awareness_t1,2,1
hr_peak_reactivity_mean_across_matches,XGBoost,ress_distraction_t1,3,1
hr_peak_reactivity_mean_across_matches,XGBoost,stress_debilitating_mindset_t1,4,1
hr_peak_reactivity_mean_across_matches,XGBoost,ebq_positive_controllability_t1,5,1
hr_peak_reactivity_mean_across_matches,XGBoost,swls3_t1,6,1
hr_peak_reactivity_mean_across_matches,XGBoost,negative_affect_t1,7,1
hr_peak_reactivity_mean_across_matches,XGBoost,ebq_negative_usefulness_t1,8,1
hr_peak_reactivity_mean_across_matches,XGBoost,ebq_negative_controllability_t1,9,1
hr_peak_reactivity_mean_across_matches,XGBoost,alexithymia_t1,10,1
hr_peak_reactivity_mean_across_matches,XGBoost,flourishing_t1,11,1
hr_peak_reactivity_mean_across_matches,XGBoost,ress_reappraisal_t1,12,1
hr_reactivity_mean_across_matches,Elastic Net,gad2_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,phq2_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,flourishing_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,swls3_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,stress_debilitating_mindset_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,fixed_mindset_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,gaming_disorder_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,alexithymia_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,body_awareness_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ebq_negative_controllability_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ebq_positive_controllability_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ebq_negative_usefulness_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ebq_positive_usefulness_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,positive_affect_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,negative_affect_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ress_relaxation_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ress_engagement_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ress_rumination_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ress_reappraisal_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ress_distraction_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,ress_suppression_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,self_esteem_t1,12,0
hr_reactivity_mean_across_matches,Elastic Net,health_t1,12,0
hr_reactivity_mean_across_matches,Random Forest,ebq_positive_usefulness_t1,1,1
hr_reactivity_mean_across_matches,Random Forest,phq2_t1,2,1
hr_reactivity_mean_across_matches,Random Forest,alexithymia_t1,3,1
hr_reactivity_mean_across_matches,Random Forest,ebq_positive_controllability_t1,4,1
hr_reactivity_mean_across_matches,Random Forest,ress_engagement_t1,5,1
hr_reactivity_mean_across_matches,Random Forest,ress_distraction_t1,6,1
hr_reactivity_mean_across_matches,Random Forest,negative_affect_t1,7,1
hr_reactivity_mean_across_matches,Random Forest,flourishing_t1,8,1
hr_reactivity_mean_across_matches,Random Forest,swls3_t1,9,1
hr_reactivity_mean_across_matches,Random Forest,ress_rumination_t1,10,1
hr_reactivity_mean_across_matches,Random Forest,ress_suppression_t1,11,1
hr_reactivity_mean_across_matches,Random Forest,ebq_negative_usefulness_t1,12,1
hr_reactivity_mean_across_matches,Random Forest,ress_relaxation_t1,13,1
hr_reactivity_mean_across_matches,Random Forest,gad2_t1,14,1
hr_reactivity_mean_across_matches,Random Forest,health_t1,15,1
hr_reactivity_mean_across_matches,Random Forest,stress_debilitating_mindset_t1,16,1
hr_reactivity_mean_across_matches,Random Forest,self_esteem_t1,17,1
hr_reactivity_mean_across_matches,Random Forest,ebq_negative_controllability_t1,18,1
hr_reactivity_mean_across_matches,Random Forest,positive_affect_t1,19,1
hr_reactivity_mean_across_matches,Random Forest,gaming_disorder_t1,20,1
hr_reactivity_mean_across_matches,Random Forest,fixed_mindset_t1,21,1
hr_reactivity_mean_across_matches,Random Forest,ress_reappraisal_t1,22,1
hr_reactivity_mean_across_matches,Random Forest,body_awareness_t1,23,1
hr_reactivity_mean_across_matches,XGBoost,body_awareness_t1,1,1
hr_reactivity_mean_across_matches,XGBoost,phq2_t1,2,1
hr_reactivity_mean_across_matches,XGBoost,flourishing_t1,3,1
hr_reactivity_mean_across_matches,XGBoost,stress_debilitating_mindset_t1,4,1
hr_reactivity_mean_across_matches,XGBoost,ress_distraction_t1,5,1
hr_reactivity_mean_across_matches,XGBoost,negative_affect_t1,6,1
hr_reactivity_mean_across_matches,XGBoost,swls3_t1,7,1
hr_recovery_delta_mean_across_matches,Elastic Net,gad2_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,phq2_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,flourishing_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,swls3_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,stress_debilitating_mindset_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,fixed_mindset_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,gaming_disorder_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,alexithymia_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,body_awareness_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ebq_negative_controllability_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ebq_positive_controllability_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ebq_negative_usefulness_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ebq_positive_usefulness_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,positive_affect_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,negative_affect_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ress_relaxation_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ress_engagement_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ress_rumination_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ress_reappraisal_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ress_distraction_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,ress_suppression_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,self_esteem_t1,12,0
hr_recovery_delta_mean_across_matches,Elastic Net,health_t1,12,0
hr_recovery_delta_mean_across_matches,Random Forest,phq2_t1,1,1
hr_recovery_delta_mean_across_matches,Random Forest,gaming_disorder_t1,2,1
hr_recovery_delta_mean_across_matches,Random Forest,alexithymia_t1,3,1
hr_recovery_delta_mean_across_matches,Random Forest,negative_affect_t1,4,1
hr_recovery_delta_mean_across_matches,Random Forest,swls3_t1,5,1
hr_recovery_delta_mean_across_matches,Random Forest,flourishing_t1,6,1
hr_recovery_delta_mean_across_matches,Random Forest,ress_rumination_t1,7,1
hr_recovery_delta_mean_across_matches,Random Forest,ebq_negative_usefulness_t1,8,1
hr_recovery_delta_mean_across_matches,Random Forest,ebq_positive_controllability_t1,9,1
hr_recovery_delta_mean_across_matches,Random Forest,ress_reappraisal_t1,10,1
hr_recovery_delta_mean_across_matches,Random Forest,ress_relaxation_t1,11,1
hr_recovery_delta_mean_across_matches,Random Forest,positive_affect_t1,12,1
hr_recovery_delta_mean_across_matches,Random Forest,ress_suppression_t1,13,1
hr_recovery_delta_mean_across_matches,Random Forest,ebq_positive_usefulness_t1,14,1
hr_recovery_delta_mean_across_matches,Random Forest,health_t1,15,1
hr_recovery_delta_mean_across_matches,Random Forest,ebq_negative_controllability_t1,16,1
hr_recovery_delta_mean_across_matches,Random Forest,body_awareness_t1,17,1
hr_recovery_delta_mean_across_matches,Random Forest,gad2_t1,18,1
hr_recovery_delta_mean_across_matches,Random Forest,self_esteem_t1,19,1
hr_recovery_delta_mean_across_matches,Random Forest,fixed_mindset_t1,20,1
hr_recovery_delta_mean_across_matches,Random Forest,ress_distraction_t1,21,1
hr_recovery_delta_mean_across_matches,Random Forest,ress_engagement_t1,22,1
hr_recovery_delta_mean_across_matches,Random Forest,stress_debilitating_mindset_t1,23,1
hr_recovery_delta_mean_across_matches,XGBoost,phq2_t1,1,1
hr_recovery_delta_mean_across_matches,XGBoost,stress_debilitating_mindset_t1,2,1
hr_recovery_delta_mean_across_matches,XGBoost,ress_reappraisal_t1,3,1
hr_recovery_delta_mean_across_matches,XGBoost,swls3_t1,4,1
hr_recovery_delta_mean_across_matches,XGBoost,body_awareness_t1,5,1
hr_recovery_delta_mean_across_matches,XGBoost,ebq_negative_usefulness_t1,6,1
hr_recovery_delta_mean_across_matches,XGBoost,ress_distraction_t1,7,1
hr_recovery_delta_mean_across_matches,XGBoost,ebq_positive_controllability_t1,8,1
hr_recovery_delta_mean_across_matches,XGBoost,fixed_mindset_t1,9,1
hr_recovery_delta_mean_across_matches,XGBoost,negative_affect_t1,10,1
hr_recovery_delta_mean_across_matches,XGBoost,self_esteem_t1,11,1
hr_recovery_delta_mean_across_matches,XGBoost,alexithymia_t1,12,1
hr_recovery_delta_mean_across_matches,XGBoost,ebq_negative_controllability_t1,13,1
hr_recovery_delta_mean_across_matches,XGBoost,ebq_positive_usefulness_t1,14,1
hr_recovery_delta_mean_across_matches,XGBoost,gaming_disorder_t1,15,1
hr_recovery_delta_mean_across_matches,XGBoost,ress_relaxation_t1,16,1
hr_recovery_delta_mean_across_matches,XGBoost,positive_affect_t1,17,1
hr_recovery_delta_mean_across_matches,XGBoost,gad2_t1,18,1
